Series ID,Year,Period,Date,Value
CUUR0000SA0,1999,M01,1999-01-01,1.7
CUUR0000SA0,1999,M02,1999-02-01,1.6
CUUR0000SA0,1999,M03,1999-03-01,1.7
CUUR0000SA0,1999,M04,1999-04-01,2.3
CUUR0000SA0,1999,M05,1999-05-01,2.1
CUUR0000SA0,1999,M06,1999-06-01,2
CUUR0000SA0,1999,M07,1999-07-01,2.1
CUUR0000SA0,1999,M08,1999-08-01,2.3
CUUR0000SA0,1999,M09,1999-09-01,2.6
CUUR0000SA0,1999,M10,1999-10-01,2.6
CUUR0000SA0,1999,M11,1999-11-01,2.6
CUUR0000SA0,1999,M12,1999-12-01,2.7
CUUR0000SA0,2000,M01,2000-01-01,2.7
CUUR0000SA0,2000,M02,2000-02-01,3.2
CUUR0000SA0,2000,M03,2000-03-01,3.8
CUUR0000SA0,2000,M04,2000-04-01,3.1
CUUR0000SA0,2000,M05,2000-05-01,3.2
CUUR0000SA0,2000,M06,2000-06-01,3.7
CUUR0000SA0,2000,M07,2000-07-01,3.7
CUUR0000SA0,2000,M08,2000-08-01,3.4
CUUR0000SA0,2000,M09,2000-09-01,3.5
CUUR0000SA0,2000,M10,2000-10-01,3.4
CUUR0000SA0,2000,M11,2000-11-01,3.4
CUUR0000SA0,2000,M12,2000-12-01,3.4
CUUR0000SA0,2001,M01,2001-01-01,3.7
CUUR0000SA0,2001,M02,2001-02-01,3.5
CUUR0000SA0,2001,M03,2001-03-01,2.9
CUUR0000SA0,2001,M04,2001-04-01,3.3
CUUR0000SA0,2001,M05,2001-05-01,3.6
CUUR0000SA0,2001,M06,2001-06-01,3.2
CUUR0000SA0,2001,M07,2001-07-01,2.7
CUUR0000SA0,2001,M08,2001-08-01,2.7
CUUR0000SA0,2001,M09,2001-09-01,2.6
CUUR0000SA0,2001,M10,2001-10-01,2.1
CUUR0000SA0,2001,M11,2001-11-01,1.9
CUUR0000SA0,2001,M12,2001-12-01,1.6
CUUR0000SA0,2002,M01,2002-01-01,1.1
CUUR0000SA0,2002,M02,2002-02-01,1.1
CUUR0000SA0,2002,M03,2002-03-01,1.5
CUUR0000SA0,2002,M04,2002-04-01,1.6
CUUR0000SA0,2002,M05,2002-05-01,1.2
CUUR0000SA0,2002,M06,2002-06-01,1.1
CUUR0000SA0,2002,M07,2002-07-01,1.5
CUUR0000SA0,2002,M08,2002-08-01,1.8
CUUR0000SA0,2002,M09,2002-09-01,1.5
CUUR0000SA0,2002,M10,2002-10-01,2
CUUR0000SA0,2002,M11,2002-11-01,2.2
CUUR0000SA0,2002,M12,2002-12-01,2.4
CUUR0000SA0,2003,M01,2003-01-01,2.6
CUUR0000SA0,2003,M02,2003-02-01,3
CUUR0000SA0,2003,M03,2003-03-01,3
CUUR0000SA0,2003,M04,2003-04-01,2.2
CUUR0000SA0,2003,M05,2003-05-01,2.1
CUUR0000SA0,2003,M06,2003-06-01,2.1
CUUR0000SA0,2003,M07,2003-07-01,2.1
CUUR0000SA0,2003,M08,2003-08-01,2.2
CUUR0000SA0,2003,M09,2003-09-01,2.3
CUUR0000SA0,2003,M10,2003-10-01,2
CUUR0000SA0,2003,M11,2003-11-01,1.8
CUUR0000SA0,2003,M12,2003-12-01,1.9
CUUR0000SA0,2004,M01,2004-01-01,1.9
CUUR0000SA0,2004,M02,2004-02-01,1.7
CUUR0000SA0,2004,M03,2004-03-01,1.7
CUUR0000SA0,2004,M04,2004-04-01,2.3
CUUR0000SA0,2004,M05,2004-05-01,3.1
CUUR0000SA0,2004,M06,2004-06-01,3.3
CUUR0000SA0,2004,M07,2004-07-01,3
CUUR0000SA0,2004,M08,2004-08-01,2.7
CUUR0000SA0,2004,M09,2004-09-01,2.5
CUUR0000SA0,2004,M10,2004-10-01,3.2
CUUR0000SA0,2004,M11,2004-11-01,3.5
CUUR0000SA0,2004,M12,2004-12-01,3.3
CUUR0000SA0,2005,M01,2005-01-01,3
CUUR0000SA0,2005,M02,2005-02-01,3
CUUR0000SA0,2005,M03,2005-03-01,3.1
CUUR0000SA0,2005,M04,2005-04-01,3.5
CUUR0000SA0,2005,M05,2005-05-01,2.8
CUUR0000SA0,2005,M06,2005-06-01,2.5
CUUR0000SA0,2005,M07,2005-07-01,3.2
CUUR0000SA0,2005,M08,2005-08-01,3.6
CUUR0000SA0,2005,M09,2005-09-01,4.7
CUUR0000SA0,2005,M10,2005-10-01,4.3
CUUR0000SA0,2005,M11,2005-11-01,3.5
CUUR0000SA0,2005,M12,2005-12-01,3.4
CUUR0000SA0,2006,M01,2006-01-01,4
CUUR0000SA0,2006,M02,2006-02-01,3.6
CUUR0000SA0,2006,M03,2006-03-01,3.4
CUUR0000SA0,2006,M04,2006-04-01,3.5
CUUR0000SA0,2006,M05,2006-05-01,4.2
CUUR0000SA0,2006,M06,2006-06-01,4.3
CUUR0000SA0,2006,M07,2006-07-01,4.1
CUUR0000SA0,2006,M08,2006-08-01,3.8
CUUR0000SA0,2006,M09,2006-09-01,2.1
CUUR0000SA0,2006,M10,2006-10-01,1.3
CUUR0000SA0,2006,M11,2006-11-01,2
CUUR0000SA0,2006,M12,2006-12-01,2.5
CUUR0000SA0,2007,M01,2007-01-01,2.1
CUUR0000SA0,2007,M02,2007-02-01,2.4
CUUR0000SA0,2007,M03,2007-03-01,2.8
CUUR0000SA0,2007,M04,2007-04-01,2.6
CUUR0000SA0,2007,M05,2007-05-01,2.7
CUUR0000SA0,2007,M06,2007-06-01,2.7
CUUR0000SA0,2007,M07,2007-07-01,2.4
CUUR0000SA0,2007,M08,2007-08-01,2
CUUR0000SA0,2007,M09,2007-09-01,2.8
CUUR0000SA0,2007,M10,2007-10-01,3.5
CUUR0000SA0,2007,M11,2007-11-01,4.3
CUUR0000SA0,2007,M12,2007-12-01,4.1
CUUR0000SA0,2008,M01,2008-01-01,4.3
CUUR0000SA0,2008,M02,2008-02-01,4
CUUR0000SA0,2008,M03,2008-03-01,4
CUUR0000SA0,2008,M04,2008-04-01,3.9
CUUR0000SA0,2008,M05,2008-05-01,4.2
CUUR0000SA0,2008,M06,2008-06-01,5
CUUR0000SA0,2008,M07,2008-07-01,5.6
CUUR0000SA0,2008,M08,2008-08-01,5.4
CUUR0000SA0,2008,M09,2008-09-01,4.9
CUUR0000SA0,2008,M10,2008-10-01,3.7
CUUR0000SA0,2008,M11,2008-11-01,1.1
CUUR0000SA0,2008,M12,2008-12-01,0.1
CUUR0000SA0,2009,M01,2009-01-01,0
CUUR0000SA0,2009,M02,2009-02-01,0.2
CUUR0000SA0,2009,M03,2009-03-01,-0.4
CUUR0000SA0,2009,M04,2009-04-01,-0.7
CUUR0000SA0,2009,M05,2009-05-01,-1.3
CUUR0000SA0,2009,M06,2009-06-01,-1.4
CUUR0000SA0,2009,M07,2009-07-01,-2.1
CUUR0000SA0,2009,M08,2009-08-01,-1.5
CUUR0000SA0,2009,M09,2009-09-01,-1.3
CUUR0000SA0,2009,M10,2009-10-01,-0.2
CUUR0000SA0,2009,M11,2009-11-01,1.8
CUUR0000SA0,2009,M12,2009-12-01,2.7
CUUR0000SA0,2010,M01,2010-01-01,2.6
CUUR0000SA0,2010,M02,2010-02-01,2.1
CUUR0000SA0,2010,M03,2010-03-01,2.3
CUUR0000SA0,2010,M04,2010-04-01,2.2
CUUR0000SA0,2010,M05,2010-05-01,2
CUUR0000SA0,2010,M06,2010-06-01,1.1
CUUR0000SA0,2010,M07,2010-07-01,1.2
CUUR0000SA0,2010,M08,2010-08-01,1.1
CUUR0000SA0,2010,M09,2010-09-01,1.1
CUUR0000SA0,2010,M10,2010-10-01,1.2
CUUR0000SA0,2010,M11,2010-11-01,1.1
CUUR0000SA0,2010,M12,2010-12-01,1.5
CUUR0000SA0,2011,M01,2011-01-01,1.6
CUUR0000SA0,2011,M02,2011-02-01,2.1
CUUR0000SA0,2011,M03,2011-03-01,2.7
CUUR0000SA0,2011,M04,2011-04-01,3.2
CUUR0000SA0,2011,M05,2011-05-01,3.6
CUUR0000SA0,2011,M06,2011-06-01,3.6
CUUR0000SA0,2011,M07,2011-07-01,3.6
CUUR0000SA0,2011,M08,2011-08-01,3.8
CUUR0000SA0,2011,M09,2011-09-01,3.9
CUUR0000SA0,2011,M10,2011-10-01,3.5
CUUR0000SA0,2011,M11,2011-11-01,3.4
CUUR0000SA0,2011,M12,2011-12-01,3
CUUR0000SA0,2012,M01,2012-01-01,2.9
CUUR0000SA0,2012,M02,2012-02-01,2.9
CUUR0000SA0,2012,M03,2012-03-01,2.7
CUUR0000SA0,2012,M04,2012-04-01,2.3
CUUR0000SA0,2012,M05,2012-05-01,1.7
CUUR0000SA0,2012,M06,2012-06-01,1.7
CUUR0000SA0,2012,M07,2012-07-01,1.4
CUUR0000SA0,2012,M08,2012-08-01,1.7
CUUR0000SA0,2012,M09,2012-09-01,2
CUUR0000SA0,2012,M10,2012-10-01,2.2
CUUR0000SA0,2012,M11,2012-11-01,1.8
CUUR0000SA0,2012,M12,2012-12-01,1.7
CUUR0000SA0,2013,M01,2013-01-01,1.6
CUUR0000SA0,2013,M02,2013-02-01,2
CUUR0000SA0,2013,M03,2013-03-01,1.5
CUUR0000SA0,2013,M04,2013-04-01,1.1
CUUR0000SA0,2013,M05,2013-05-01,1.4
CUUR0000SA0,2013,M06,2013-06-01,1.8
CUUR0000SA0,2013,M07,2013-07-01,2
CUUR0000SA0,2013,M08,2013-08-01,1.5
CUUR0000SA0,2013,M09,2013-09-01,1.2
CUUR0000SA0,2013,M10,2013-10-01,1
CUUR0000SA0,2013,M11,2013-11-01,1.2
CUUR0000SA0,2013,M12,2013-12-01,1.5
CUUR0000SA0,2014,M01,2014-01-01,1.6
CUUR0000SA0,2014,M02,2014-02-01,1.1
CUUR0000SA0,2014,M03,2014-03-01,1.5
CUUR0000SA0,2014,M04,2014-04-01,2
CUUR0000SA0,2014,M05,2014-05-01,2.1
CUUR0000SA0,2014,M06,2014-06-01,2.1
CUUR0000SA0,2014,M07,2014-07-01,2
CUUR0000SA0,2014,M08,2014-08-01,1.7
CUUR0000SA0,2014,M09,2014-09-01,1.7
CUUR0000SA0,2014,M10,2014-10-01,1.7
CUUR0000SA0,2014,M11,2014-11-01,1.3
CUUR0000SA0,2014,M12,2014-12-01,0.8
CUUR0000SA0,2015,M01,2015-01-01,-0.1
CUUR0000SA0,2015,M02,2015-02-01,0
CUUR0000SA0,2015,M03,2015-03-01,-0.1
CUUR0000SA0,2015,M04,2015-04-01,-0.2
CUUR0000SA0,2015,M05,2015-05-01,0
CUUR0000SA0,2015,M06,2015-06-01,0.1
CUUR0000SA0,2015,M07,2015-07-01,0.2
CUUR0000SA0,2015,M08,2015-08-01,0.2
CUUR0000SA0,2015,M09,2015-09-01,0
CUUR0000SA0,2015,M10,2015-10-01,0.2
CUUR0000SA0,2015,M11,2015-11-01,0.5
CUUR0000SA0,2015,M12,2015-12-01,0.7
CUUR0000SA0,2016,M01,2016-01-01,1.4
CUUR0000SA0,2016,M02,2016-02-01,1
CUUR0000SA0,2016,M03,2016-03-01,0.9
CUUR0000SA0,2016,M04,2016-04-01,1.1
CUUR0000SA0,2016,M05,2016-05-01,1
CUUR0000SA0,2016,M06,2016-06-01,1
CUUR0000SA0,2016,M07,2016-07-01,0.8
CUUR0000SA0,2016,M08,2016-08-01,1.1
CUUR0000SA0,2016,M09,2016-09-01,1.5
CUUR0000SA0,2016,M10,2016-10-01,1.6
CUUR0000SA0,2016,M11,2016-11-01,1.7
CUUR0000SA0,2016,M12,2016-12-01,2.1
CUUR0000SA0,2017,M01,2017-01-01,2.5
CUUR0000SA0,2017,M02,2017-02-01,2.7
CUUR0000SA0,2017,M03,2017-03-01,2.4
CUUR0000SA0,2017,M04,2017-04-01,2.2
CUUR0000SA0,2017,M05,2017-05-01,1.9
CUUR0000SA0,2017,M06,2017-06-01,1.6
CUUR0000SA0,2017,M07,2017-07-01,1.7
CUUR0000SA0,2017,M08,2017-08-01,1.9
CUUR0000SA0,2017,M09,2017-09-01,2.2
CUUR0000SA0,2017,M10,2017-10-01,2
CUUR0000SA0,2017,M11,2017-11-01,2.2
CUUR0000SA0,2017,M12,2017-12-01,2.1
CUUR0000SA0,2018,M01,2018-01-01,2.1
CUUR0000SA0,2018,M02,2018-02-01,2.2
CUUR0000SA0,2018,M03,2018-03-01,2.4
CUUR0000SA0,2018,M04,2018-04-01,2.5
CUUR0000SA0,2018,M05,2018-05-01,2.8
CUUR0000SA0,2018,M06,2018-06-01,2.9
CUUR0000SA0,2018,M07,2018-07-01,2.9
CUUR0000SA0,2018,M08,2018-08-01,2.7
CUUR0000SA0,2018,M09,2018-09-01,2.3
CUUR0000SA0,2018,M10,2018-10-01,2.5
CUUR0000SA0,2018,M11,2018-11-01,2.2
CUUR0000SA0,2018,M12,2018-12-01,1.9
CUUR0000SA0,2019,M01,2019-01-01,1.6
CUUR0000SA0,2019,M02,2019-02-01,1.5
CUUR0000SA0,2019,M03,2019-03-01,1.9
CUUR0000SA0,2019,M04,2019-04-01,2
CUUR0000SA0,2019,M05,2019-05-01,1.8
CUUR0000SA0,2019,M06,2019-06-01,1.6
CUUR0000SA0,2019,M07,2019-07-01,1.8
CUUR0000SA0,2019,M08,2019-08-01,1.7
CUUR0000SA0,2019,M09,2019-09-01,1.7
CUUR0000SA0,2019,M10,2019-10-01,1.8
CUUR0000SA0,2019,M11,2019-11-01,2.1
CUUR0000SA0,2019,M12,2019-12-01,2.3
CUUR0000SA0,2020,M01,2020-01-01,2.5
CUUR0000SA0,2020,M02,2020-02-01,2.3
CUUR0000SA0,2020,M03,2020-03-01,1.5
CUUR0000SA0,2020,M04,2020-04-01,0.3
CUUR0000SA0,2020,M05,2020-05-01,0.1
CUUR0000SA0,2020,M06,2020-06-01,0.6
CUUR0000SA0,2020,M07,2020-07-01,1
CUUR0000SA0,2020,M08,2020-08-01,1.3
CUUR0000SA0,2020,M09,2020-09-01,1.4
CUUR0000SA0,2020,M10,2020-10-01,1.2
CUUR0000SA0,2020,M11,2020-11-01,1.2
CUUR0000SA0,2020,M12,2020-12-01,1.4
CUUR0000SA0,2021,M01,2021-01-01,1.4
CUUR0000SA0,2021,M02,2021-02-01,1.7
CUUR0000SA0,2021,M03,2021-03-01,2.6
CUUR0000SA0,2021,M04,2021-04-01,4.2
CUUR0000SA0,2021,M05,2021-05-01,5
CUUR0000SA0,2021,M06,2021-06-01,5.4
CUUR0000SA0,2021,M07,2021-07-01,5.4
CUUR0000SA0,2021,M08,2021-08-01,5.3
CUUR0000SA0,2021,M09,2021-09-01,5.4
CUUR0000SA0,2021,M10,2021-10-01,6.2
CUUR0000SA0,2021,M11,2021-11-01,6.8
CUUR0000SA0,2021,M12,2021-12-01,7
CUUR0000SA0,2022,M01,2022-01-01,7.5
CUUR0000SA0,2022,M02,2022-02-01,7.9
CUUR0000SA0,2022,M03,2022-03-01,8.5
CUUR0000SA0,2022,M04,2022-04-01,8.3
CUUR0000SA0,2022,M05,2022-05-01,8.6
CUUR0000SA0,2022,M06,2022-06-01,9.1
CUUR0000SA0,2022,M07,2022-07-01,8.5
CUUR0000SA0,2022,M08,2022-08-01,8.3
CUUR0000SA0,2022,M09,2022-09-01,8.2
CUUR0000SA0,2022,M10,2022-10-01,7.7
CUUR0000SA0,2022,M11,2022-11-01,7.1
CUUR0000SA0,2022,M12,2022-12-01,6.5
CUUR0000SA0,2023,M01,2023-01-01,6.4
CUUR0000SA0,2023,M02,2023-02-01,6
CUUR0000SA0,2023,M03,2023-03-01,5
CUUR0000SA0,2023,M04,2023-04-01,4.9
CUUR0000SA0,2023,M05,2023-05-01,4
CUUR0000SA0,2023,M06,2023-06-01,3
CUUR0000SA0,2023,M07,2023-07-01,3.2
CUUR0000SA0,2023,M08,2023-08-01,3.7
CUUR0000SA0,2023,M09,2023-09-01,3.7
CUUR0000SA0,2023,M10,2023-10-01,3.2
CUUR0000SA0,2023,M11,2023-11-01,3.1
CUUR0000SA0,2023,M12,2023-12-01,3.4
CUUR0000SA0,2024,M01,2024-01-01,3.1
CUUR0000SA0,2024,M02,2024-02-01,3.2
CUUR0000SA0,2024,M03,2024-03-01,3.5
CUUR0000SA0,2024,M04,2024-04-01,3.4
CUUR0000SA0,2024,M05,2024-05-01,3.3
CUUR0000SA0,2024,M06,2024-06-01,3
CUUR0000SA0,2024,M07,2024-07-01,2.9
CUUR0000SA0,2024,M08,2024-08-01,2.5
