Year,Period,Label,Date,Value
1999,M01,1999 Jan,1999-01-01,4.3
1999,M02,1999 Feb,1999-02-01,4.4
1999,M03,1999 Mar,1999-03-01,4.2
1999,M04,1999 Apr,1999-04-01,4.3
1999,M05,1999 May,1999-05-01,4.2
1999,M06,1999 Jun,1999-06-01,4.3
1999,M07,1999 Jul,1999-07-01,4.3
1999,M08,1999 Aug,1999-08-01,4.2
1999,M09,1999 Sep,1999-09-01,4.2
1999,M10,1999 Oct,1999-10-01,4.1
1999,M11,1999 Nov,1999-11-01,4.1
1999,M12,1999 Dec,1999-12-01,4
2000,M01,2000 Jan,2000-01-01,4
2000,M02,2000 Feb,2000-02-01,4.1
2000,M03,2000 Mar,2000-03-01,4
2000,M04,2000 Apr,2000-04-01,3.8
2000,M05,2000 May,2000-05-01,4
2000,M06,2000 Jun,2000-06-01,4
2000,M07,2000 Jul,2000-07-01,4
2000,M08,2000 Aug,2000-08-01,4.1
2000,M09,2000 Sep,2000-09-01,3.9
2000,M10,2000 Oct,2000-10-01,3.9
2000,M11,2000 Nov,2000-11-01,3.9
2000,M12,2000 Dec,2000-12-01,3.9
2001,M01,2001 Jan,2001-01-01,4.2
2001,M02,2001 Feb,2001-02-01,4.2
2001,M03,2001 Mar,2001-03-01,4.3
2001,M04,2001 Apr,2001-04-01,4.4
2001,M05,2001 May,2001-05-01,4.3
2001,M06,2001 Jun,2001-06-01,4.5
2001,M07,2001 Jul,2001-07-01,4.6
2001,M08,2001 Aug,2001-08-01,4.9
2001,M09,2001 Sep,2001-09-01,5
2001,M10,2001 Oct,2001-10-01,5.3
2001,M11,2001 Nov,2001-11-01,5.5
2001,M12,2001 Dec,2001-12-01,5.7
2002,M01,2002 Jan,2002-01-01,5.7
2002,M02,2002 Feb,2002-02-01,5.7
2002,M03,2002 Mar,2002-03-01,5.7
2002,M04,2002 Apr,2002-04-01,5.9
2002,M05,2002 May,2002-05-01,5.8
2002,M06,2002 Jun,2002-06-01,5.8
2002,M07,2002 Jul,2002-07-01,5.8
2002,M08,2002 Aug,2002-08-01,5.7
2002,M09,2002 Sep,2002-09-01,5.7
2002,M10,2002 Oct,2002-10-01,5.7
2002,M11,2002 Nov,2002-11-01,5.9
2002,M12,2002 Dec,2002-12-01,6
2003,M01,2003 Jan,2003-01-01,5.8
2003,M02,2003 Feb,2003-02-01,5.9
2003,M03,2003 Mar,2003-03-01,5.9
2003,M04,2003 Apr,2003-04-01,6
2003,M05,2003 May,2003-05-01,6.1
2003,M06,2003 Jun,2003-06-01,6.3
2003,M07,2003 Jul,2003-07-01,6.2
2003,M08,2003 Aug,2003-08-01,6.1
2003,M09,2003 Sep,2003-09-01,6.1
2003,M10,2003 Oct,2003-10-01,6
2003,M11,2003 Nov,2003-11-01,5.8
2003,M12,2003 Dec,2003-12-01,5.7
2004,M01,2004 Jan,2004-01-01,5.7
2004,M02,2004 Feb,2004-02-01,5.6
2004,M03,2004 Mar,2004-03-01,5.8
2004,M04,2004 Apr,2004-04-01,5.6
2004,M05,2004 May,2004-05-01,5.6
2004,M06,2004 Jun,2004-06-01,5.6
2004,M07,2004 Jul,2004-07-01,5.5
2004,M08,2004 Aug,2004-08-01,5.4
2004,M09,2004 Sep,2004-09-01,5.4
2004,M10,2004 Oct,2004-10-01,5.5
2004,M11,2004 Nov,2004-11-01,5.4
2004,M12,2004 Dec,2004-12-01,5.4
2005,M01,2005 Jan,2005-01-01,5.3
2005,M02,2005 Feb,2005-02-01,5.4
2005,M03,2005 Mar,2005-03-01,5.2
2005,M04,2005 Apr,2005-04-01,5.2
2005,M05,2005 May,2005-05-01,5.1
2005,M06,2005 Jun,2005-06-01,5
2005,M07,2005 Jul,2005-07-01,5
2005,M08,2005 Aug,2005-08-01,4.9
2005,M09,2005 Sep,2005-09-01,5
2005,M10,2005 Oct,2005-10-01,5
2005,M11,2005 Nov,2005-11-01,5
2005,M12,2005 Dec,2005-12-01,4.9
2006,M01,2006 Jan,2006-01-01,4.7
2006,M02,2006 Feb,2006-02-01,4.8
2006,M03,2006 Mar,2006-03-01,4.7
2006,M04,2006 Apr,2006-04-01,4.7
2006,M05,2006 May,2006-05-01,4.6
2006,M06,2006 Jun,2006-06-01,4.6
2006,M07,2006 Jul,2006-07-01,4.7
2006,M08,2006 Aug,2006-08-01,4.7
2006,M09,2006 Sep,2006-09-01,4.5
2006,M10,2006 Oct,2006-10-01,4.4
2006,M11,2006 Nov,2006-11-01,4.5
2006,M12,2006 Dec,2006-12-01,4.4
2007,M01,2007 Jan,2007-01-01,4.6
2007,M02,2007 Feb,2007-02-01,4.5
2007,M03,2007 Mar,2007-03-01,4.4
2007,M04,2007 Apr,2007-04-01,4.5
2007,M05,2007 May,2007-05-01,4.4
2007,M06,2007 Jun,2007-06-01,4.6
2007,M07,2007 Jul,2007-07-01,4.7
2007,M08,2007 Aug,2007-08-01,4.6
2007,M09,2007 Sep,2007-09-01,4.7
2007,M10,2007 Oct,2007-10-01,4.7
2007,M11,2007 Nov,2007-11-01,4.7
2007,M12,2007 Dec,2007-12-01,5
2008,M01,2008 Jan,2008-01-01,5
2008,M02,2008 Feb,2008-02-01,4.9
2008,M03,2008 Mar,2008-03-01,5.1
2008,M04,2008 Apr,2008-04-01,5
2008,M05,2008 May,2008-05-01,5.4
2008,M06,2008 Jun,2008-06-01,5.6
2008,M07,2008 Jul,2008-07-01,5.8
2008,M08,2008 Aug,2008-08-01,6.1
2008,M09,2008 Sep,2008-09-01,6.1
2008,M10,2008 Oct,2008-10-01,6.5
2008,M11,2008 Nov,2008-11-01,6.8
2008,M12,2008 Dec,2008-12-01,7.3
2009,M01,2009 Jan,2009-01-01,7.8
2009,M02,2009 Feb,2009-02-01,8.3
2009,M03,2009 Mar,2009-03-01,8.7
2009,M04,2009 Apr,2009-04-01,9
2009,M05,2009 May,2009-05-01,9.4
2009,M06,2009 Jun,2009-06-01,9.5
2009,M07,2009 Jul,2009-07-01,9.5
2009,M08,2009 Aug,2009-08-01,9.6
2009,M09,2009 Sep,2009-09-01,9.8
2009,M10,2009 Oct,2009-10-01,10
2009,M11,2009 Nov,2009-11-01,9.9
2009,M12,2009 Dec,2009-12-01,9.9
2010,M01,2010 Jan,2010-01-01,9.8
2010,M02,2010 Feb,2010-02-01,9.8
2010,M03,2010 Mar,2010-03-01,9.9
2010,M04,2010 Apr,2010-04-01,9.9
2010,M05,2010 May,2010-05-01,9.6
2010,M06,2010 Jun,2010-06-01,9.4
2010,M07,2010 Jul,2010-07-01,9.4
2010,M08,2010 Aug,2010-08-01,9.5
2010,M09,2010 Sep,2010-09-01,9.5
