age_group,demography,food_security_status,food_security_numeric,poverty_indicator,family_income,state,person_supplement_weight
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Alabama,123679.64
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Alaska,27963.41
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Arizona,241540.14
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Arkansas,66316
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",California,894884.73
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Colorado,280487.49
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Connecticut,86837.64
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Delaware,25294.61
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",District of Columbia,9429.24
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Florida,612312.07
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Georgia,159935.97
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Hawaii,44044.73
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Idaho,85122.04
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Illinois,346181.1
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Indiana,165986.22
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Iowa,128246.34
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Kansas,109765.03
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Kentucky,104977.38
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Louisiana,102085.07
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Maine,42942.93
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Maryland,258328.85
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Massachusetts,162301.18
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Michigan,333397.47
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Minnesota,307592.61
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Mississippi,70057.27
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Missouri,267269.57
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Montana,43725.88
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Nebraska,68627.4
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Nevada,89147.84
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",New Hampshire,55901.27
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",New Jersey,142392.71
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",New Mexico,58885.34
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",New York,559186.12
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",North Carolina,217631.65
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",North Dakota,36492.73
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Ohio,420819.72
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Oklahoma,158908.74
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Oregon,132760.09
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Pennsylvania,520201.47
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Rhode Island,47256.61
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",South Carolina,177230.98
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",South Dakota,56762.55
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Tennessee,206475.9
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Texas,1058678.61
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Utah,217071.28
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Vermont,12317.04
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Virginia,237875.85
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Washington,222684.22
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",West Virginia,48232.28
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Wisconsin,242065.05
(0-17),Children,Food Secure,1,0,"$100,000 to $149,999",Wyoming,18775.66
(0-17),Children,Food Secure,1,0,"$150,000 or more",Alabama,171580.45
(0-17),Children,Food Secure,1,0,"$150,000 or more",Alaska,22896.19
(0-17),Children,Food Secure,1,0,"$150,000 or more",Arizona,345965.8
(0-17),Children,Food Secure,1,0,"$150,000 or more",Arkansas,53652.53
(0-17),Children,Food Secure,1,0,"$150,000 or more",California,2183021.81
(0-17),Children,Food Secure,1,0,"$150,000 or more",Colorado,323932.73
(0-17),Children,Food Secure,1,0,"$150,000 or more",Connecticut,275163.17
(0-17),Children,Food Secure,1,0,"$150,000 or more",Delaware,49677.63
(0-17),Children,Food Secure,1,0,"$150,000 or more",District of Columbia,48849.18
(0-17),Children,Food Secure,1,0,"$150,000 or more",Florida,688493.01
(0-17),Children,Food Secure,1,0,"$150,000 or more",Georgia,404167.94
(0-17),Children,Food Secure,1,0,"$150,000 or more",Hawaii,92970.01
(0-17),Children,Food Secure,1,0,"$150,000 or more",Idaho,100552.59
(0-17),Children,Food Secure,1,0,"$150,000 or more",Illinois,636934.49
(0-17),Children,Food Secure,1,0,"$150,000 or more",Indiana,357400.19
(0-17),Children,Food Secure,1,0,"$150,000 or more",Iowa,180508.24
(0-17),Children,Food Secure,1,0,"$150,000 or more",Kansas,169078.67
(0-17),Children,Food Secure,1,0,"$150,000 or more",Kentucky,106360.81
(0-17),Children,Food Secure,1,0,"$150,000 or more",Louisiana,121224.46
(0-17),Children,Food Secure,1,0,"$150,000 or more",Maine,36921.69
(0-17),Children,Food Secure,1,0,"$150,000 or more",Maryland,459821.95
(0-17),Children,Food Secure,1,0,"$150,000 or more",Massachusetts,522934.95
(0-17),Children,Food Secure,1,0,"$150,000 or more",Michigan,341585.96
(0-17),Children,Food Secure,1,0,"$150,000 or more",Minnesota,245080.74
(0-17),Children,Food Secure,1,0,"$150,000 or more",Mississippi,47940.15
(0-17),Children,Food Secure,1,0,"$150,000 or more",Missouri,155464.82
(0-17),Children,Food Secure,1,0,"$150,000 or more",Montana,55587.98
(0-17),Children,Food Secure,1,0,"$150,000 or more",Nebraska,112598.58
(0-17),Children,Food Secure,1,0,"$150,000 or more",Nevada,172615.01
(0-17),Children,Food Secure,1,0,"$150,000 or more",New Hampshire,111815.36
